country_code,country_name,gdp_pc_ppp,life_exp,internet_pct,urban_pct,education_spend_pct,fdi_pct
POL,Poland,43405.0215797441,77.1560975609756,86.94113479,59.8315488048321,4.31372976303101,6.00626096603428
PRE,Pre-demographic dividend,4624.99225982559,61.3833052969468,,44.4479498791233,2.89168744551701,0.858656667279576
PRI,Puerto Rico (US),42310.9585064702,79.427,87.29178106,94.1110923054937,3.86129930773508,
PRK,"Korea, Dem. People's Rep.",,73.641,,63.2274365906829,,
PRT,Portugal,41070.861152974,81.6317073170732,84.49690644,61.1259255772782,4.55160999298096,5.08368921917484
PRY,Paraguay,15259.1456311862,72.319,76.25916611,68.6396537819458,3.39619994163513,2.03844719825164
PSE,West Bank and Gaza,5753.08395899307,76.662,88.64690554,86.5961423216016,,1.62179695015304
PSS,Pacific island small states,6653.2312628164,69.1004348993561,,39.9427900823495,,2.26281533700796
PST,Post-demographic dividend,57682.9366418842,80.1924721633692,,80.93281887999,4.96171021461486,2.11227912896868
PYF,French Polynesia,,83.859,,61.6913806937112,,-0.168607958150952
QAT,Qatar,114740.16518158,81.857,98.03800201,99.243997525719,,0.0322850595933247
ROU,Romania,39256.9888833852,75.1536585365854,85.50309124,52.1634832477272,3.2788200378418,3.88647349252643
RUS,Russian Federation,38214.49609375,72.5456097560976,90.41799163,74.8544893625017,4.05402755323777,-1.73680981421063
RWA,Rwanda,2892.45964942821,67.528,28.01679993,27.7806702737761,4.74213981628418,2.29121488787355
SAS,South Asia,8522.02555266368,72.0115731308447,54.2,34.8137520955194,3.09202235990416,1.35427437156322
SAU,Saudi Arabia,67178.5902274906,77.31,100.0,84.1349430023993,,2.1556449627378
SDN,Sudan,3132.0771484375,65.695,,34.7209852053086,,1.11000421594226
SEN,Senegal,4228.73382642974,67.788,56.82830048,53.4435061024348,5.95222997665405,10.5411241953817
SGP,Singapore,133571.962410322,82.8951219512195,95.95386476,100.0,2.47478008270264,28.3188156351916
SLB,Solomon Islands,2330.10309195408,70.409,28.01729965,29.3511689856806,8.48737829731105,2.77627597762606
SLE,Sierra Leone,2934.73326430435,61.275,21.50880051,44.2666343543487,4.90762996673584,2.03619504430889
SLV,El Salvador,11085.6178074688,71.969,60.05609894,74.1465021298679,3.26848006248474,0.0823187568481088
SMR,San Marino,70887.573899815,85.708,97.32790375,97.1141889380465,2.89753007888794,3.92890134686182
SOM,"Somalia, Fed. Rep.",1387.54753732191,53.931,27.6,53.5010115886789,7.21674775437e-06,6.23346074683917
SRB,Serbia,24651.9500494588,75.2365853658537,83.53825397,61.9013813540396,3.08255004882812,6.90354140371273
SSA,Sub-Saharan Africa (excluding high income),5035.76910820244,61.2833700706225,32.7,45.4749158289618,3.08249624893127,1.51565756163249
SSD,South Sudan,,57.203,,20.7752121046616,,
SSF,Sub-Saharan Africa,4796.06641542138,61.8572731122839,31.1,43.1554770877868,3.0972642678305,1.601585993195
SST,Small states,22449.9535899521,72.380297225352,70.5,51.5222800598785,4.84085988998413,10.146090044415
STP,Sao Tome and Principe,5632.13890715047,69.237,58.56779861,68.3720919798341,5.19392101712613,10.2819916432401
SUR,Suriname,18742.5873760369,73.254,,65.8985443115234,3.43460841988051,-0.245419018781694
SVK,Slovak Republic,38664.9076949851,76.9658536585366,89.06766196,53.1902831072528,4.65688991546631,4.16872005912019
SVN,Slovenia,47050.0676441642,81.2829268292683,88.91248552,55.3377817873563,5.28065013885498,3.64010857871706
SWE,Sweden,63088.4236678734,83.0585365853659,95.00970335,88.4038576504809,7.31909990310669,9.35228228785513
SWZ,Eswatini,9927.60567008139,63.028,57.34370041,25.396682918542,5.57274175738511,0.281255609924273
SXM,Sint Maarten (Dutch part),45515.6523389272,76.18,,100.0,4.27420508508285,1.0725730154733
SYC,Seychelles,27978.1770550937,74.509756097561,84.83380127,44.9108209981157,3.65858904774836,9.40509377025538
SYR,Syrian Arab Republic,4454.85373271464,72.79,,72.6124992370605,,
TCA,Turks and Caicos Islands,28209.6242536079,77.918,,93.6922471653237,2.77640008926392,2.44052271812869
TCD,Chad,2449.48251052484,54.528,11.17029953,25.7635558629694,2.6016118897064,3.44402627536712
TEA,East Asia & Pacific (IDA & IBRD countries),18808.7249692887,75.9610347461336,82.3,60.8301827838521,2.28490151187525,1.29406625416745
TEC,Europe & Central Asia (IDA & IBRD countries),30145.8653395354,74.1883654842503,85.2,68.9112783282391,3.90450382025902,1.05360200270419
TGO,Togo,2739.68813234711,62.292,35.60749817,42.7332327975627,3.77811083266775,-2.00429827129667
THA,Thailand,20762.7952598527,75.291,87.97724503,59.742374420166,2.61187022798634,2.39179841841837
TJK,Tajikistan,4213.75618362687,71.562,48.91429901,26.1957126615618,5.39829770599001,1.62432287476597
TKM,Turkmenistan,17119.5744946142,69.913,,47.0592103414926,3.58004999160767,2.21764501242202
