country_code,country_name,year,ladder,log_gdp,social_support,life_exp_healthy,freedom,generosity,corruption,gdp_pc_ppp,life_exp,internet_pct,urban_pct,education_spend_pct,fdi_pct
SLV,El Salvador,2023,6.121600151062012,9.089116096496582,0.7547428011894226,65.59691619873047,0.9175320863723756,-0.1079049557447433,0.6196134686470032,11085.6178074688,71.969,60.05609894,74.1465021298679,3.26848006248474,0.0823187568481088
HUN,Hungary,2023,6.041200160980225,10.418682098388672,0.9426373243331908,67.50045013427734,0.7578166723251343,-0.0591716542840004,0.8388599753379822,40610.9711368238,75.8682926829268,89.14282688,70.1585064243445,3.8011999130249,-1.08324491969383
ARG,Argentina,2023,6.02370023727417,9.95878791809082,0.8908900618553162,67.20008087158203,0.8226782083511353,-0.0894799306988716,0.8140133619308472,27825.0273492567,75.806,88.37535691,92.112838186126,4.79263019561768,2.3984601182853
HND,Honduras,2023,6.022500038146973,8.635234832763672,0.7655693888664246,64.0630111694336,0.8426064848899841,0.0973521620035171,0.8429010510444641,6352.58710177732,72.715,56.88069916,57.8364689017254,4.48280030802056,2.41292398026651
UZB,Uzbekistan,2023,6.0142998695373535,8.948406219482422,0.874754011631012,65.3005142211914,0.9379149079322816,0.2295317649841308,0.6381723880767822,9607.56167273449,72.147,83.90000012,50.9847412109375,5.23477171022152,2.94947448385164
MYS,Malaysia,2023,6.01230001449585,10.169085502624512,0.7986076474189758,65.66233825683594,0.876727819442749,0.1595873385667801,0.7584688663482666,32129.2217820113,75.444,97.3986404,75.9741357073003,3.49933781956284,3.68486215546291
PRT,Portugal,2023,5.9679999351501465,10.4286527633667,0.877972424030304,71.25039672851562,0.902433216571808,-0.1960751861333847,0.8780763149261475,41070.861152974,81.6317073170732,84.49690644,61.1259255772782,4.55160999298096,5.08368921917484
KOR,South Korea,2023,5.951099872589111,10.69267463684082,0.8116115927696228,73.65018463134766,0.7168270945549011,-0.0462142340838909,0.7011785507202148,53228.6035655365,82.6804878048781,97.16855335,81.1624941626873,5.40910005569458,1.39186469730544
GRC,Greece,2023,5.930900096893311,10.288155555725098,0.8349514007568359,71.14976501464844,0.5679218173027039,-0.2395679205656051,0.7932218313217163,35831.3441781205,80.7878048780488,83.17066333,78.5502190980809,3.37547993659973,3.69648293387112
MUS,Mauritius,2023,5.902299880981445,9.95720100402832,0.888333261013031,63.85012435913086,0.8129426836967468,-0.0282245129346847,0.7749056816101074,25085.9891959451,73.5146341463415,75.5,39.0000125885784,4.84085988998413,4.21993412406582
THA,Thailand,2023,5.8429999351501465,9.751472473144531,0.8735074400901794,68.44964599609375,0.8503376245498657,0.288653165102005,0.9103906750679016,20762.7952598527,75.291,87.97724503,59.742374420166,2.61187022798634,2.39179841841837
MNG,Mongolia,2023,5.840199947357178,9.372422218322754,0.9328268766403198,60.49993133544922,0.7011629343032837,0.1904609650373459,0.8487215042114258,15310.4349469163,71.9007317073171,81.07720184,69.783805847168,,14.6053065112102
KGZ,Kyrgyzstan,2023,5.825300216674805,8.485833168029785,0.911150336265564,66.85247039794922,0.93429297208786,0.1813510954380035,0.9037905335426332,6139.77788825006,72.0487804878049,84.1937027,34.7003053497743,7.16884382244099,0.451992680624909
MDA,Moldova,2023,5.819200038909912,9.498775482177734,0.8566350340843201,65.29906463623047,0.8397157788276672,-0.0800843685865402,0.900856614112854,15358.0153548867,71.546,74.91899872,42.4048843383789,6.10430002212524,4.03446735088075
CHN,China,2023,5.81790018081665,9.738065719604492,0.8356984853744507,68.68879699707031,0.8818911910057068,-0.0407825037837028,0.7272279858589172,21499.3822834427,78.202,75.61131603,65.2176361083984,,1.03841365474349
VNM,Vietnam,2023,5.763299942016602,9.286938667297363,0.8211429715156555,65.5024185180664,0.938640594482422,-0.0036427439190447,0.7588440775871277,12979.7639049934,74.502,78.58999918,37.5478515625,2.88738689372749,4.32947308910883
PRY,Paraguay,2023,5.737800121307373,9.509722709655762,0.9060643315315248,65.89987182617188,0.8908432126045227,0.020743167027831,0.8425903916358948,15259.1456311862,72.319,76.25916611,68.6396537819458,3.39619994163513,2.03844719825164
MNE,Montenegro,2023,5.7221999168396,9.81259059906006,0.8896059989929199,67.0999984741211,0.8049980401992798,0.063483290374279,0.8444382548332214,25583.4216629604,76.1878048780488,88.22192026,65.4012965440866,,13.9582230042507
JAM,Jamaica,2023,5.702700138092041,9.16460132598877,0.8673140406608582,66.5999984741211,0.8223790526390076,-0.1062569320201873,0.8750672340393066,11096.6377085321,71.481,85.84329987,57.9879906034775,5.35435009002685,1.69418617103882
BOL,Bolivia,2023,5.684299945831299,8.984602928161621,0.8113415241241455,63.59894180297852,0.8683634400367737,-0.0627197548747062,0.8457956910133362,11487.7148799194,67.434,72.62270355,70.6352598708131,7.57551002502441,0.0122391923945909
RUS,Russia,2023,5.660699844360352,10.20974826812744,0.8886616826057434,64.947265625,0.7193708419799805,-0.0303580816835165,0.8014196753501892,38214.49609375,72.5456097560976,90.41799163,74.8544893625017,4.05402755323777,-1.73680981421063
BIH,Bosnia and Herzegovina,2023,5.632500171661377,9.615763664245604,0.8803004622459412,67.27503204345703,0.7461434006690979,0.2064070999622345,0.917537808418274,19298.1971056448,76.777,78.8455371,51.0215287060993,2.97012986426524,3.7882728069108
